,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_is_superhost,latitude,longitude,minimum_nights,instant_bookable,is_business_travel_ready,tv,wifi,kitchen,washer,dryer,heating,free_parking,smoking_allowed,property_type,neighbourhood,room_type,cancellation_policy,bed_type
14124,2,1.0,1,35.0,10.0,0.0,15.0,1,4.606994035838338,52.42788734839922,False,52.557959502416274,13.377702532432414,3,True,False,False,True,True,True,False,True,False,True,1,1,0,0,0
14125,1,1.0,1,25.0,0.0,0.0,0.0,1,4.732928781951976,38.932095642248825,False,52.54918050905653,13.354057819369329,1,True,False,False,True,True,True,True,True,False,True,1,1,0,1,0
14126,2,1.0,1,39.0,15.0,150.0,15.0,1,1.8902372975417572,28.0,False,52.51186348353957,13.380473166368976,1,False,False,False,True,True,True,True,True,False,False,1,1,0,2,0
14127,2,1.0,1,20.0,15.0,0.0,7.0,1,6.388553440422306,44.63250372646642,False,52.46743954267495,13.4431072076421,3,False,False,False,True,True,True,True,True,False,False,1,3,0,1,0
14128,2,1.0,1,18.0,10.0,0.0,15.0,1,5.385981345262637,47.03012721352047,False,52.47907568672533,13.447562570274966,1,True,False,False,True,True,False,False,True,False,False,1,3,2,1,0
14129,2,1.0,1,15.0,10.0,100.0,10.0,1,6.997360550865668,10.0,False,52.506766579715155,13.303909083555453,2,False,False,False,True,True,True,True,True,False,False,1,4,1,2,0
14130,2,1.0,1,35.0,15.0,0.0,10.0,1,5.2978310337292465,50.78611284626668,False,52.477154990847644,13.37076784466134,1,False,False,True,True,True,True,True,True,True,True,1,5,0,1,0
14131,2,1.0,1,70.0,20.0,0.0,20.0,1,2.3303779285534185,67.21298376126106,True,52.537879552953434,13.422972040187284,2,False,False,False,True,True,True,True,True,False,False,1,2,0,2,0
14132,2,2.0,1,35.0,0.0,0.0,0.0,1,4.852074283466075,55.096898705500266,False,52.52389319560654,13.333570739344912,3,False,False,True,True,True,True,True,True,False,True,4,1,0,1,0
14133,4,1.0,1,18.0,10.0,0.0,12.0,1,5.426131270479591,49.82709531489536,False,52.479367938460854,13.449391865004776,2,True,False,False,True,False,False,False,True,False,False,1,3,2,1,0
14134,2,1.0,1,45.0,10.0,85.0,20.0,1,3.9680450157870095,15.0,False,52.48787381808962,13.430522507206414,2,False,False,False,True,True,True,True,False,False,True,1,3,0,2,0
14135,3,1.0,1,60.0,50.0,1000.0,10.0,1,8.781562888811202,10.0,False,52.49792156106857,13.280417701892922,3,False,False,True,True,True,True,True,True,True,False,3,4,1,0,0
14136,4,1.0,2,115.0,80.0,250.0,25.0,3,2.4197590719211712,10.0,False,52.53300262826897,13.433681442614205,2,False,False,True,True,True,True,True,True,False,False,1,2,1,0,0
14137,2,1.0,1,30.0,5.0,0.0,4.0,1,5.191613256078842,15.0,False,52.523805746234615,13.32852165307462,5,False,False,True,True,True,True,True,True,False,False,1,1,0,1,0
14138,2,1.0,1,68.0,10.0,0.0,10.0,1,4.337966392902495,60.56935605207945,False,52.48388953175125,13.429254221805165,2,False,False,True,True,True,True,True,True,True,False,1,3,1,1,0
14139,2,1.0,0,47.0,10.0,500.0,10.0,3,4.672524056118943,54.63849115932663,False,52.479027808771924,13.42032529781184,4,False,False,False,True,True,True,True,True,True,True,1,3,1,1,0
14140,2,1.0,1,50.0,0.0,0.0,10.0,2,14.517543143681504,52.61717654110056,True,52.389823613904845,13.421395039754467,2,True,False,True,True,True,True,True,True,True,False,1,5,1,2,0
14141,2,1.0,1,60.0,15.0,0.0,0.0,1,4.179154144729005,70.0,False,52.55376154426669,13.377849919503625,2,True,False,True,True,True,True,False,True,False,False,1,1,1,0,0
14142,4,1.0,2,65.0,0.0,0.0,0.0,1,3.9107219738259738,57.882786723674926,False,52.52102550929144,13.462775304274453,3,True,False,False,True,False,True,True,False,False,False,1,2,1,1,0
14143,2,1.0,1,18.0,5.0,0.0,10.0,2,5.680374033836747,43.46583245010952,False,52.55714046401928,13.347332800245571,4,True,False,False,True,True,False,True,True,False,False,1,1,0,2,0
14144,2,1.0,1,45.0,0.0,200.0,0.0,1,3.955480603668247,38.0,False,52.48715926567257,13.427458213951704,3,False,False,False,True,True,True,True,True,False,True,1,3,1,1,0
14145,2,1.0,1,30.0,0.0,0.0,0.0,1,1.9118067643009515,35.0,False,52.528009540295685,13.379995162279096,2,True,False,False,True,True,True,True,True,False,True,1,1,0,1,0
14146,3,1.0,1,71.0,10.0,0.0,0.0,1,3.0476741518052024,920.0,True,52.54712243327186,13.41149124314174,2,True,False,True,True,True,True,False,False,False,False,1,2,1,0,0
14147,2,1.0,1,27.0,0.0,0.0,0.0,1,3.1853774171509586,41.70213383851448,False,52.49376166855216,13.423889206748033,2,True,False,True,True,True,True,False,False,False,False,1,3,0,1,0
14148,4,1.0,2,100.0,15.0,0.0,0.0,1,5.210533345672364,70.93307578539864,False,52.50573854403993,13.47834486759136,3,False,False,False,True,True,True,True,True,False,False,1,6,1,2,0
14149,2,1.0,2,69.0,0.0,0.0,0.0,1,3.269597001094581,54.99147176524651,False,52.549258714915005,13.409801893232212,14,True,False,False,True,True,True,False,True,False,False,1,2,0,1,0
14150,2,1.0,1,70.0,25.0,0.0,0.0,1,3.369024243826022,58.67062372117164,False,52.54968828826194,13.395055092786214,4,False,False,True,True,True,True,False,True,False,False,1,1,0,2,0
14151,2,1.0,0,45.0,0.0,100.0,45.0,2,6.0896878826721,67.74503874501696,False,52.513316660623296,13.315675876518615,1,False,False,True,True,True,True,True,True,False,False,1,4,1,1,0
14152,3,1.0,2,70.0,20.0,250.0,20.0,2,3.7472594231837553,69.64141926316094,False,52.549002280674074,13.433214507375975,2,False,False,False,True,True,False,False,True,False,False,1,2,0,2,0
14153,2,1.0,1,35.0,0.0,0.0,10.0,1,3.2413286058458515,48.82154823328559,False,52.4988851746424,13.438019740326972,3,False,False,False,True,True,True,False,True,False,True,1,0,0,2,0
14154,3,1.0,1,24.0,15.0,0.0,20.0,1,3.0190949752997387,200.0,False,52.50136111049763,13.437439337319775,2,False,False,False,True,True,False,True,True,False,False,1,0,0,0,0
14155,2,1.0,1,51.0,25.0,150.0,20.0,1,4.385844511035283,60.0,False,52.48197828074856,13.422235432040248,100,True,False,False,True,True,True,True,True,False,False,1,3,1,2,0
14156,2,1.0,0,44.0,0.0,0.0,0.0,1,1.8842143086197332,32.0,False,52.53605549186623,13.396093732198606,1,True,False,True,True,True,False,False,True,False,True,1,1,1,1,0
14157,2,1.0,1,35.0,20.0,150.0,28.0,1,8.622656542001064,20.0,False,52.44441098705551,13.376579591716881,1,False,False,False,True,False,False,True,True,False,False,1,5,0,0,0
